epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,166.384,0.6513,0.37679,0.91761,0.98537,0.98131,0.99009,0.83724,0.63007,0.32337,0.93756,0.00050005,0.00050005,0.00050005
103,167.897,0.61866,0.36645,0.89514,0.98128,0.97987,0.9905,0.84386,0.63881,0.31761,0.94031,0.0004951,0.0004951,0.0004951
104,169.422,0.59158,0.36229,0.89272,0.98133,0.98228,0.99057,0.8452,0.63581,0.31674,0.93982,0.00049015,0.00049015,0.00049015
105,170.97,0.59502,0.35682,0.88931,0.97321,0.99065,0.99061,0.8483,0.63094,0.31948,0.94245,0.0004852,0.0004852,0.0004852
106,172.494,0.5996,0.36083,0.88577,0.98384,0.98131,0.98988,0.84261,0.63791,0.31919,0.94423,0.00048025,0.00048025,0.00048025
107,174.019,0.61547,0.35516,0.90239,0.98572,0.97664,0.99066,0.84306,0.64272,0.31791,0.94153,0.0004753,0.0004753,0.0004753
108,175.545,0.58223,0.353,0.90036,0.9901,0.97664,0.99186,0.8451,0.65152,0.32433,0.94273,0.00047035,0.00047035,0.00047035
109,177.084,0.62172,0.36256,0.88638,0.9807,0.98598,0.99239,0.83711,0.66642,0.33163,0.95527,0.0004654,0.0004654,0.0004654
110,178.632,0.57429,0.33985,0.89217,0.97529,0.99533,0.99256,0.83848,0.6668,0.33249,0.95808,0.00046045,0.00046045,0.00046045
111,180.207,0.58893,0.35368,0.89159,0.98602,0.98858,0.99239,0.84137,0.65532,0.32606,0.94905,0.0004555,0.0004555,0.0004555
112,181.735,0.58517,0.34555,0.87233,0.98606,0.99156,0.99293,0.84019,0.65313,0.32581,0.9505,0.00045055,0.00045055,0.00045055
113,183.272,0.57159,0.34218,0.87986,0.99065,0.99019,0.99333,0.84309,0.6629,0.31528,0.95229,0.0004456,0.0004456,0.0004456
114,184.812,0.60207,0.36012,0.91597,0.98609,0.9941,0.99297,0.83727,0.68437,0.32418,0.94975,0.00044065,0.00044065,0.00044065
115,186.36,0.59327,0.35874,0.89648,0.98086,0.99065,0.99216,0.82863,0.69751,0.33896,0.95282,0.0004357,0.0004357,0.0004357
116,187.92,0.58785,0.35167,0.8831,0.96815,0.99419,0.99131,0.83156,0.68283,0.33321,0.95298,0.00043075,0.00043075,0.00043075
117,189.461,0.57344,0.34071,0.87547,0.98156,0.99493,0.99296,0.84019,0.67704,0.32811,0.95141,0.0004258,0.0004258,0.0004258
118,191.088,0.57897,0.3456,0.88853,0.99018,0.99533,0.99336,0.84685,0.66779,0.31777,0.95248,0.00042085,0.00042085,0.00042085
119,192.616,0.60289,0.35678,0.90254,0.9906,0.98521,0.99263,0.84244,0.67189,0.32011,0.95076,0.0004159,0.0004159,0.0004159
120,194.181,0.58057,0.34982,0.88044,0.98887,0.98131,0.99237,0.83916,0.66904,0.32088,0.9487,0.00041095,0.00041095,0.00041095
121,195.726,0.58824,0.35514,0.89058,0.99061,0.98578,0.99319,0.84017,0.65496,0.31819,0.9437,0.000406,0.000406,0.000406
122,197.298,0.57327,0.34864,0.88077,0.98598,0.9859,0.99267,0.84306,0.64723,0.31651,0.94061,0.00040105,0.00040105,0.00040105
123,198.846,0.5424,0.33016,0.8861,0.99053,0.98598,0.9926,0.83908,0.63727,0.31119,0.93736,0.0003961,0.0003961,0.0003961
124,200.391,0.5387,0.3286,0.8815,0.99064,0.98881,0.99241,0.84264,0.63108,0.30386,0.93501,0.00039115,0.00039115,0.00039115
125,201.946,0.53851,0.32302,0.87703,0.9953,0.98981,0.99242,0.8459,0.63294,0.30822,0.93366,0.0003862,0.0003862,0.0003862
126,203.533,0.57852,0.33746,0.88271,0.9953,0.9893,0.99251,0.8509,0.63362,0.30966,0.93665,0.00038125,0.00038125,0.00038125
127,205.172,0.56418,0.33705,0.89444,0.99232,0.98598,0.99255,0.85112,0.63471,0.30561,0.93755,0.0003763,0.0003763,0.0003763
128,206.792,0.58076,0.34485,0.88226,0.99296,0.99065,0.99293,0.8497,0.64043,0.30849,0.93978,0.00037135,0.00037135,0.00037135
129,208.309,0.5594,0.33213,0.86787,0.98959,0.99065,0.99288,0.85386,0.6388,0.30703,0.94488,0.0003664,0.0003664,0.0003664
130,209.892,0.57626,0.33664,0.88692,0.99063,0.98857,0.99297,0.85147,0.63847,0.30628,0.9446,0.00036145,0.00036145,0.00036145
131,211.545,0.55735,0.3343,0.88951,0.9953,0.99034,0.99326,0.8578,0.64366,0.29543,0.94249,0.0003565,0.0003565,0.0003565
132,213.108,0.59118,0.34886,0.87688,0.99229,0.98598,0.99335,0.86038,0.65444,0.29521,0.9447,0.00035155,0.00035155,0.00035155
133,214.665,0.55836,0.33619,0.88085,0.99065,0.99031,0.9933,0.85542,0.65154,0.29185,0.94325,0.0003466,0.0003466,0.0003466
134,216.21,0.54743,0.32786,0.86982,0.99065,0.98971,0.99326,0.85523,0.6493,0.29701,0.9451,0.00034165,0.00034165,0.00034165
135,217.743,0.55393,0.3328,0.88759,0.9937,0.98598,0.99312,0.85745,0.6441,0.29765,0.94211,0.0003367,0.0003367,0.0003367
136,219.308,0.53773,0.32682,0.87313,0.99426,0.98598,0.99345,0.85877,0.63904,0.29676,0.93944,0.00033175,0.00033175,0.00033175
137,220.894,0.5355,0.32289,0.87386,0.9953,0.98982,0.99373,0.85162,0.64935,0.29957,0.945,0.0003268,0.0003268,0.0003268
138,222.441,0.51298,0.30972,0.87264,0.99297,0.98598,0.99368,0.85065,0.6592,0.30841,0.94643,0.00032185,0.00032185,0.00032185
139,223.976,0.57066,0.33813,0.8758,0.99449,0.98598,0.99359,0.8476,0.66659,0.31256,0.94549,0.0003169,0.0003169,0.0003169
140,225.525,0.5223,0.31355,0.85678,0.99452,0.98598,0.99321,0.84481,0.65989,0.31102,0.94204,0.00031195,0.00031195,0.00031195
141,227.103,0.55521,0.33091,0.86829,0.99447,0.98598,0.99311,0.84995,0.65129,0.30535,0.94099,0.000307,0.000307,0.000307
142,228.659,0.52868,0.31544,0.8624,0.98948,0.98598,0.99302,0.85414,0.6334,0.30308,0.9363,0.00030205,0.00030205,0.00030205
143,230.193,0.52946,0.31674,0.86494,0.99065,0.98993,0.99306,0.85086,0.63515,0.30678,0.93811,0.0002971,0.0002971,0.0002971
144,231.731,0.56093,0.32837,0.899,0.98924,0.98598,0.99321,0.85147,0.63621,0.30228,0.93818,0.00029215,0.00029215,0.00029215
145,233.278,0.50544,0.30877,0.87053,0.9946,0.98598,0.99302,0.85055,0.63872,0.29619,0.93725,0.0002872,0.0002872,0.0002872
146,234.795,0.5362,0.31452,0.86436,0.99528,0.98524,0.99293,0.8541,0.63872,0.28846,0.93635,0.00028225,0.00028225,0.00028225
147,236.349,0.53188,0.31657,0.88,0.99528,0.98543,0.99255,0.85603,0.63266,0.28781,0.93401,0.0002773,0.0002773,0.0002773
148,237.877,0.53089,0.31832,0.87023,0.99483,0.98598,0.99236,0.85685,0.63301,0.29263,0.9354,0.00027235,0.00027235,0.00027235
149,239.407,0.52686,0.30943,0.87772,0.9944,0.98598,0.99274,0.85174,0.63503,0.29369,0.93839,0.0002674,0.0002674,0.0002674
150,240.959,0.53864,0.31928,0.90169,0.99419,0.98598,0.99311,0.84775,0.64051,0.29771,0.94141,0.00026245,0.00026245,0.00026245
151,242.49,0.50186,0.30609,0.86911,0.99447,0.98598,0.9933,0.8486,0.63749,0.29651,0.9398,0.0002575,0.0002575,0.0002575
152,244.035,0.51132,0.30858,0.87187,0.9953,0.98988,0.99326,0.85291,0.63534,0.29356,0.93643,0.00025255,0.00025255,0.00025255
153,245.577,0.50615,0.31422,0.86615,0.9953,0.98999,0.99326,0.85358,0.63925,0.2948,0.93608,0.0002476,0.0002476,0.0002476
154,247.095,0.51843,0.30692,0.88943,0.99065,0.98994,0.99274,0.85473,0.63849,0.29018,0.9325,0.00024265,0.00024265,0.00024265
155,248.649,0.54436,0.32002,0.88066,0.98957,0.98598,0.99254,0.85859,0.63619,0.28643,0.93083,0.0002377,0.0002377,0.0002377
156,250.168,0.53169,0.31795,0.87839,0.9804,0.99533,0.99268,0.86207,0.63278,0.28658,0.92863,0.00023275,0.00023275,0.00023275
157,251.719,0.5102,0.30623,0.87942,0.99065,0.9901,0.99277,0.85891,0.63751,0.29376,0.93509,0.0002278,0.0002278,0.0002278
158,253.268,0.52178,0.31655,0.86236,0.98586,0.99533,0.99276,0.85315,0.65051,0.30039,0.94348,0.00022285,0.00022285,0.00022285
159,254.79,0.53064,0.30612,0.88604,0.98156,0.99472,0.99285,0.85299,0.65079,0.29502,0.94394,0.0002179,0.0002179,0.0002179
160,256.325,0.49864,0.29694,0.87306,0.986,0.98758,0.99279,0.85662,0.6463,0.29135,0.94197,0.00021295,0.00021295,0.00021295
161,257.828,0.52652,0.31221,0.85922,0.98769,0.99065,0.99245,0.85284,0.65075,0.29189,0.94522,0.000208,0.000208,0.000208
162,259.369,0.50206,0.29468,0.86594,0.98469,0.99065,0.99231,0.85324,0.6527,0.28819,0.94791,0.00020305,0.00020305,0.00020305
163,260.916,0.50902,0.30033,0.86299,0.98609,0.99353,0.99226,0.85273,0.65395,0.29022,0.94794,0.0001981,0.0001981,0.0001981
164,262.41,0.51142,0.30382,0.86326,0.99065,0.98984,0.99256,0.85623,0.65286,0.29145,0.94732,0.00019315,0.00019315,0.00019315
165,263.936,0.48428,0.28704,0.88179,0.98156,0.99471,0.99268,0.84998,0.65495,0.29492,0.9481,0.0001882,0.0001882,0.0001882
166,265.463,0.48393,0.29082,0.85718,0.99068,0.99367,0.99282,0.84886,0.65687,0.29299,0.94939,0.00018325,0.00018325,0.00018325
167,266.995,0.52376,0.31018,0.87891,0.99065,0.98974,0.99301,0.85081,0.65726,0.29129,0.95105,0.0001783,0.0001783,0.0001783
168,268.517,0.51505,0.30845,0.87514,0.9935,0.98598,0.99321,0.85009,0.65642,0.28878,0.9483,0.00017335,0.00017335,0.00017335
169,270.041,0.49127,0.30265,0.87767,0.98605,0.99117,0.99325,0.85853,0.64653,0.2876,0.94212,0.0001684,0.0001684,0.0001684
170,271.583,0.50539,0.309,0.86891,0.98604,0.99036,0.99315,0.8599,0.63858,0.28511,0.93722,0.00016345,0.00016345,0.00016345
171,273.12,0.51894,0.31114,0.86228,0.97996,0.99533,0.9927,0.86638,0.63813,0.28638,0.9355,0.0001585,0.0001585,0.0001585
172,274.69,0.49158,0.29853,0.86347,0.98151,0.99225,0.99236,0.86213,0.63527,0.28557,0.93442,0.00015355,0.00015355,0.00015355
173,276.224,0.49457,0.30065,0.86162,0.99028,0.98131,0.99226,0.86202,0.63642,0.28535,0.93616,0.0001486,0.0001486,0.0001486
174,277.754,0.49189,0.29539,0.86646,0.99527,0.98353,0.99237,0.85892,0.63773,0.28412,0.93757,0.00014365,0.00014365,0.00014365
175,279.254,0.50782,0.30235,0.87977,0.99526,0.98086,0.99222,0.85634,0.6348,0.28393,0.93368,0.0001387,0.0001387,0.0001387
176,280.776,0.49189,0.29855,0.86718,0.99077,0.98131,0.99216,0.85924,0.63318,0.2816,0.93444,0.00013375,0.00013375,0.00013375
177,282.313,0.47918,0.29082,0.87393,0.9854,0.98598,0.99191,0.85788,0.62805,0.27946,0.9338,0.0001288,0.0001288,0.0001288
178,283.841,0.47522,0.2904,0.86406,0.9767,0.99533,0.99186,0.8611,0.6262,0.278,0.93373,0.00012385,0.00012385,0.00012385
179,285.364,0.47884,0.28489,0.86894,0.98603,0.98942,0.99205,0.85782,0.6279,0.2795,0.93418,0.0001189,0.0001189,0.0001189
180,286.894,0.50067,0.29951,0.87116,0.98603,0.98945,0.99229,0.86104,0.63146,0.27883,0.93418,0.00011395,0.00011395,0.00011395
181,288.455,0.4958,0.29773,0.86782,0.98603,0.98926,0.99234,0.86305,0.62926,0.28044,0.93276,0.000109,0.000109,0.000109
182,290.018,0.49074,0.29171,0.86975,0.9856,0.98598,0.99229,0.86132,0.6297,0.28015,0.93304,0.00010405,0.00010405,0.00010405
